제목,뉴스 출처,날짜,뉴스 본문,관련 href
"
외환보유액 2개월째 증가
",연합뉴스,2023-08-03 14:33,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110018&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230807&page=1
"
7월 외환보유액 2개월째 증가…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110014&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230807&page=1
"
7월 외환보유액 2개월째 증가…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110013&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230807&page=1
"
7월 외환보유액…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110012&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230807&page=1
"
7월 외환보유액 2개월째 증가…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110011&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230807&page=1
"
7월 외환보유액…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110010&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230807&page=1
"
7월 외환보유액…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110009&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230807&page=1
"
7월 외환보유액…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110007&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230807&page=1
"
외환보유액 2개월째 증가
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110006&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230807&page=1
"
외환보유액 2개월째 증가
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110005&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230807&page=1
"
원/달러 환율, 위안화 약세 속 1,315.7원…한 달여 만에 최고
",연합뉴스,2023-08-08 15:59,"(서울=연합뉴스) 오지은 기자 = 원/달러 환율이 8일 9원 넘게 뛰어 한 달여 만에 1,310원대로 올라섰다.     이날 서울 외환시장에서 달러 대비 원화 환율은 전날보다 9.5원 오른 1,315.7원에 마감했다.    이날 종가는 지난 6월 30일(1,317.7원) 이후 최고치다.     환율은 전날보다 0.3원 오른 1,306.5원에 개장한 뒤 1,310원대로 올라섰다.    이날 원/달러 환율은 위안/달러 환율 흐름에 따라 움직였다.     역외 위안/달러 환율이 7.2위안에서 7.22위안으로 상승하는 등 위안화가 약세를 보이면서 원/달러 환율 상승(원화 약세)으로 이어졌다.    위안화는 중국 무역지표 발표를 앞두고 시장 참여자의 경계감으로 인해 약세를 보이고 있다.    다만 수출업체 네고(달러 매도)의 고점 인식은 상단을 제한하는 요인이다.     민경원 우리은행 연구원은 ""수출·중공업체 고점매도 수요는 원/달러 환율 하락 요인으로 작용한다""고 설명했다.     같은 시간 원/엔 재정환율은 100엔당 919.52원이다. 전날 오후 3시 30분 기준가(918.60원)보다 0.92원 올랐다.     built@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 폭염탓일까…서울대공원서 시베리아호랑이 또 폐사 SPC 계열 성남 샤니공장서 또 근로자 끼임 사고…심정지 이송 與성일종 ""BTS가 잼버리 공연할 수 있게 국방부가 지원해달라"" ""산에서 아기 낳고 묻으려다…너무울어 교복에 싸서 데려왔어요"" 태국 ""태국인 잼버리 성범죄 의혹, 오해 있지만 철저 조사할 것""",https://finance.naver.com/news/news_read.naver?article_id=0014119444&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
원/달러 환율, 장 초반 보합세…1,300원대
",연합뉴스,2023-08-08 09:30,"(서울=연합뉴스) 오지은 기자 = 8일 원/달러 환율은 장 초반 보합권에서 움직이고 있다.    이날 서울 외환시장에서 오전 9시 17분 현재 달러 대비 원화 환율은 전날보다 0.5원 상승한 1,306.7원이다.     환율은 0.3원 오른 1,306.5원에 개장한 뒤 제한적으로 등락하고 있다.     간밤 환율은 미국 국채 금리 상승과 연방준비제도(Fed·연준)의 비둘기파적 발언으로 상·하방 압력을 받아 강보합권에서 마감했다.    김승혁 NH선물 연구원은 ""환율은 미국 국채금리 상승으로 상승압력을 받았지만, 연준의 비둘기파적 발언이 이를 상쇄해 1,300원대 초중반에 안착할 것으로 보인다""고 말했다.    7일(현지시간) 10년물 국채금리는 최근 4.2%까지 올라 지난해 11월 이후 최고치를 경신했다. 10년물 금리는 전장보다 5bp(1bp=0.01%포인트)가량 오른 4.09% 근방에서 거래를 마쳤고, 2년물 국채금리는 전날과 비슷한 4.79% 근방에서 마감했다.    매파적(통화긴축 선호)로 분류되는 존 윌리엄스 뉴욕 연방준비은행(연은) 총재는 ""현재 기준금리는 최고치에 근접한 것으로 보인다""며 ""물가가 내년까지 하락한다고 가정했을 때 기준금리를 내리지 않으면 실질 이자율이 계속 올라가는 것""이라고 말했다.     시장 참여자는 윌리엄스 총재의 발언을 연준이 내년부터 금리 인하에 나설 것이라는 비둘기파(통화완화 선호) 신호로 해석했다.     같은 시간 원/엔 재정환율은 100엔당 915.79원이다. 전날 오후 3시 30분 기준가(918.60원)보다 2.81원 하락했다.     built@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. ""산에서 아기 낳고 묻으려다…너무울어 교복에 싸서 데려왔어요"" 프랑스서 아내 감금·고문한 독일인 남편 체포…""12년간 당했다"" '몸 만지고 기습 입맞춤' 20대 여직원 강제추행한 금융기관 간부 브라질서 개와 충돌한 뺑소니 차량의 동승자, 괴한 총 맞아 사망 공포영화 걸작 '엑소시스트' 감독한 윌리엄 프리드킨 별세",https://finance.naver.com/news/news_read.naver?article_id=0014117935&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
美 페이팔, 스테이블코인 출시…주요 핀테크로선 처음
",연합뉴스,2023-08-08 07:22,"(샌프란시스코=연합뉴스) 김태종 특파원 = 미국 온라인 결제서비스업체 페이팔은 7일(현지시간) 스테이블코인 가상화폐를 출시한다고 밝혔다.    스테이블코인은 가격 변동성을 최소화하도록 미국 달러나 유로 가치 등에 고정돼 설계된 가상화폐로, IT와 금융서비스를 결합한 핀테크 업체가 출시하는 것은 이번이 처음이다.    '페이팔 USD'(PYUSD)라는 이름의 이 스테이블코인은 세계 최대 가상화폐 거래소 바이낸스 스테이블코인(BUSD)을 발행한 팍소스가 발행한다.    페이팔은 'PYUSD'에 대해 ""웹 3.0 및 디지털 환경에서 결제를 혁신하기 위해 설계됐다""며 ""미 달러 등으로 상환할 수 있다""고 설명했다.    스테이블코인은 비트코인이나 이더리움과 같은 다른 가상화폐 자산을 거래하는 데에도 사용되며, 전통적인 금융시스템에 포함되지 않기 때문에 중앙 중개 기관 없이도 즉각적이고 저렴하게 송금에 이용될 수 있다.     댄 슐먼 페이팔 최고경영자(CEO)는 ""디지털 통화로 전환하기 위해서는 디지털이면서 미 달러와 같은 법정 통화와 쉽게 연결되는 안정적인 도구가 필요하다""며 ""페이팔은 그동안의 경험을 바탕으로 이번 스테이블코인을 통해 디지털 결제의 성장에 기여할 수 있을 것""이라고 말했다.    페이팔은 전 세계적으로 4억개 이상의 활성 계정을 보유하고 있으며, 2020년부터 사용자가 가상화폐로 결제할 수 있는 서비스를 시작해 왔다.    현재 스테이블코인으로는 테더의 USDT, 서클의 USDC, 바이낸스의 BUSD 등이 있으며, 유통량은 USDT가 1천260억 달러(164조7천450억원)로 가장 많다.     앞서 페이스북 모회사 메타가 2019년 스테이블코인 리브라를 출시하려 했으나, 글로벌 금융 안정성에 대한 규제당국의 우려로 무산된 바 있다.     taejong75@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. ""산에서 아기 낳고 묻으려다…너무울어 교복에 싸서 데려왔어요"" 프랑스서 아내 감금·고문한 독일인 남편 체포…""12년간 당했다"" 브라질서 개와 충돌한 뺑소니 차량의 동승자, 괴한 총 맞아 사망 ""살인범에게 촬영 선택권을?""…최원종 머그샷 거부에 비판 여론 공포영화 걸작 '엑소시스트' 감독한 윌리엄 프리드킨 별세",https://finance.naver.com/news/news_read.naver?article_id=0014117782&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
원/달러 환율, 미국CPI 발표 앞두고 1,300원대서 하락 마감
",연합뉴스,2023-08-07 15:49,"(서울=연합뉴스) 오지은 기자 = 이번 주에 미국 7월 소비자물가지수(CPI) 발표를 앞둔 가운데 7일 원/달러 환율은 1,300원대에서 하락 마감했다.     이날 서울 외환시장에서 달러 대비 원화 환율은 3.6원 내린 1,306.2원에서 마감했다.     환율은 전 거래일보다 3.2원 내린 1,306.6원에 개장해 1,304원대로 하락한 뒤 오후 들어 반등했다.    김승혁 NH선물 연구원은 이날 환율 하락에 대해 ""CPI 결과에 따라 움직이고자 하는 신중론은 1,300원 초반 구간에서 저가 매수로 대응할 수 있다""고 설명했다.     월스트리트저널에 따르면 시장 참여자들은 7월 CPI가 지난해 같은 달보다 3.3% 올랐을 것으로 예상했다.     시장 예상대로 CPI가 나온다면 연방준비제도(Fed·연준)의 금리 인상이 끝났다는 기대는 약화하고 높은 수준의 금리를 오래 유지할 가능성이 커질 수 있다.     7월 CPI가 예상대로 지난해보다 오를 경우 9월 연방공개시장위원회(FOMC)가 매파(통화 긴축 선호)적일 수 있다는 우려가 커질 수 있다.    같은 시간 원/엔 재정환율은 100엔당 918.60원이다. 전 거래일 오후 3시 30분 기준가(919.77원)보다 1.17원 하락했다.     built@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 잼버리 대원들, 태풍 북상에 새만금 야영지 떠난다 울산 모 초등학교 칼부림 예고 글 올린 초등생 검거 ""엄마, 벌써 보고 싶어""…분당 사건 피해 현장에 추모 꽃다발 태풍 카눈, 10일 오전 경남남해안 상륙 예상…전국 폭풍속으로 ""시부모 18년 모셔"" 김은경에 시누이 ""거짓말""…정치권 또 시끌",https://finance.naver.com/news/news_read.naver?article_id=0014117083&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
코스피, 2,600 내외서 나흘째 약세…이차전지주 동반 하락(종합)
",연합뉴스,2023-08-07 09:33,"(서울=연합뉴스) 홍유담 기자 = 코스피가 7일 장 초반 투자자들의 관망세에 나흘째 약세를 보이며 2,600 안팎에서 보합권 흐름을 이어가고 있다.      이날 오전 9시 19분 현재 코스피는 전장보다 1.41포인트(0.05%) 낮은 2,601.39다.    지수는 지난 2일부터 4거래일째 약세를 이어가면서 전장보다 11.22포인트(0.43%) 내린 2,591.58에 개장해 보합권에서 등락하고 있다.    유가증권시장에서 개인과 외국인이 각각 301억원, 221억원을 순매수했다. 기관은 618억원을 순매도했다.    이날 국내 증시는 앞선 미국 뉴욕 증시의 부진을 반영하면서 이차전지주 등 테마주들의 흐름에 영향을 받고 있다.     지난 4일(현지시간) 미국 뉴욕 증시에서 다우존스30 산업평균지수(-0.43%)와 스탠더드앤드푸어스(S&P) 500지수(-0.53%), 기술주 중심의 나스닥 지수(-0.36%)가 일제히 하락했다.    미국 7월 비농업 일자리는 전월 대비 18만7천명 증가해 전문가 전망치(20만명 증가)를 밑돌아 다소 고용이 둔화한 것으로 발표됐다.     반면 7월 실업률은 3.5%로 시장 예상치와 전달 기록을 모두 밑돌며 올해 4월 이후 가장 낮은 수치를 기록했고, 임금 상승률의 경우 4.36%로 시장 예상치와 전달 기록보다 높아 인플레이션 압박을 드러냈다.    고용지표가 혼조세를 보이는 가운데 애플의 주가가 올해 3분기 실적 부진 우려로 4.80% 떨어지면서 투자 심리를 위축시켰다.    시장은 오는 10일 예정된 미국의 7월 소비자물가지수(CPI) 발표를 주시하고 있다.    한지영 키움증권 연구원은 ""국내 증시에선 오는 11일 에코프로 편입 여부가 결정되는 모건스탠리캐피털인터내셔널(MSCI) 분기 리뷰 결과가 중요할 것""이라며 ""엔터주들의 실적발표도 잇따라 예정된 만큼 미국 CPI 등 거시경제 이벤트뿐 아니라 국내 주요 테마주 간의 힘겨루기 싸움에 영향을 받는 한 주가 될 것""이라고 설명했다.    시가총액 상위권에서 삼성전자(0.15%), SK하이닉스(1.83%), 삼성바이오로직스(0.50%), NAVER(네이버)(3.36%) 등이 상승하고 있다.    반면 LG에너지솔루션(-0.74%), POSCO홀딩스(-1.68%), LG화학(-1.10%), 삼성SDI(-1.73%), 포스코퓨처엠(-3.23%) 등 이차전지주는 일제히 하락세다.    업종별로는 종이·목재(1.80%), 보험(1.25%), 서비스업(1.12%), 의약품(1.02%) 등이 오르고 운수장비(-1.41%), 섬유·의복(-1.28%), 운수·창고(-1.21%), 철강 및 금속(-1.16%) 등은 약세다.    같은 시각 코스닥지수는 전장보다 5.96포인트(0.65%) 하락한 912.47을 나타냈다.    지수는 전장보다 5.18포인트(0.56%) 내린 913.25로 출발해 내림세를 지속하고 있다.    코스닥시장에서 개인이 홀로 1천296억원을 순매수했다. 외국인과 기관은 각각 757억원, 412억원 매도 우위다.    시총 상위권에서는 에코프로비엠(-3.94%)과 에코프로(-3.49%), 엘앤에프(-2.99%) 등 이차전지주가 약세인 가운데 셀트리온헬스케어(1.33%), JYP Ent.(2.07%) 등은 오르고 있다.    ydhong@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 잼버리 대원들, 태풍 북상에 새만금 야영지 떠난다 울산 모 초등학교 칼부림 예고 글 올린 초등생 검거 ""엄마, 벌써 보고 싶어""…분당 사건 피해 현장에 추모 꽃다발 태풍 카눈, 10일 오전 경남남해안 상륙 예상…전국 폭풍속으로 ""시부모 18년 모셔"" 김은경에 시누이 ""거짓말""…정치권 또 시끌",https://finance.naver.com/news/news_read.naver?article_id=0014115876&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
원/달러 환율, 미국 고용지표 둔화 속 1,300원대 하락 출발
",연합뉴스,2023-08-07 09:25,"(서울=연합뉴스) 오지은 기자 = 지난주 30원가량 급등했던 원/달러 환율이 미국 고용 지표 둔화 속에 7일 하락 출발했다.     이날 서울 외환시장에서 오전 9시 12분 현재 달러 대비 원화 환율은 전 거래일보다 5.6원 하락한 1,304.2원이다.     환율은 3.2원 내린 1,306.6원에 개장한 뒤 소폭 하락한 1,304원대에서 움직이고 있다.    지난 4일(현지시간) 미국 노동부가 발표한 고용보고서에 따르면 7월 비농업 일자리는 18만7천개 증가해 전문가 전망치(20만건)를 밑돌았다.     보건의료(6만3천개), 사회복지(2만4천개), 금융활동(1만9천개), 도매업(1만8천개) 부문에서 고용 증가를 이끌었지만 여가접객업에선 일자리가 1만7천개 늘어나는 데 그쳐 1분기 월평균 고용 증가 인원(6만7천개)을 크게 밑돌았다.     김승혁 NH선물 연구원은 ""달러는 신규고용 증가 둔화에 따른 여파 등으로 (전거래일) 하락 마감했다""고 말했다.     지난주 환율 급등으로 고점을 노린 수출업체의 달러 매도 가능성도 하락 요인으로 작용할 수 있다.     같은 시간 원/엔 재정환율은 100엔당 920.03원이다. 전거래일 오후 3시 30분 기준가 919.77원보다 0.26원 상승했다.     built@yna.co.kr[그래픽] 원/달러 환율 추이(서울=연합뉴스) 원형민 기자 = 4일 서울 외환시장에서 달러 대비 원화 환율은 전 거래일보다 10.7원 오른 1,309.8원에 마감했다.    circlemin@yna.co.kr    페이스북 tuney.kr/LeYN1 트위터 @yonhap_graphics연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. ""시부모 18년 모셔"" 김은경에 시누이 ""거짓말""…정치권 또 시끌 ""엄마 남자문제 아버지도 아나"" 내연녀 딸에 전화한 60대 ""치아 없어 음주측정 못해"" 항소했지만 기각…법원 ""거부 명확"" '회장님들 현피' 코앞?…머스크 ""저커버그 결투 엑스로 생중계"" 잼버리 성범죄 의혹 남성 ""더워서 그랬다""…피해자는 강력 반발",https://finance.naver.com/news/news_read.naver?article_id=0014115860&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
